DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
PUTUMAYO,ORITO,1423,2024,10,2811001,0,0,0,0,0,0,0,0
CASANARE,VILLANUEVA,1423,2024,10,2329001,0,0,0,0,0,0,0,0
N. DE SANTANDER,OCAÑA,1423,2024,10,2472301,2,0,0,0,0,0,0,0
QUINDIO,PIJAO,1423,2024,10,1970001,2,0,1,1,1,0,0,0
BOYACA,COMBITA,1423,2024,10,3452001,2,0,0,0,0,0,0,0
CUNDINAMARCA,SASAIMA,1423,2024,10,1561301,5,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,10,2829901,135,0,0,0,0,0,0,0
CHOCO,TADO,1423,2024,10,2472301,2,0,0,0,0,0,0,0
BOYACA,ARCABUCO,1423,2024,10,3861001,4,1,0,0,0,0,0,0
CASANARE,TAURAMENA,1423,2024,10,2862102,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,TULUA,1423,2024,10,1475902,9,0,0,0,0,0,0,0
NARIÑO,CONSACA,1423,2024,10,3861001,17,140,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,10,1823001,2014,202,14,14,14,0,0,0
CALDAS,ANSERMA,1423,2024,10,2014101,3,0,0,0,0,0,0,0
CAUCA,TIMBIO,1423,2024,10,2862201,0,0,0,0,0,0,0,0
ANTIOQUIA,VENECIA,1423,2024,10,1471901,4,0,0,0,0,0,0,0
BOYACA,VILLA DE LEYVA,1423,2024,10,1474201,1,0,0,0,0,0,0,0
META,EL DORADO,1423,2024,10,3861001,3,40,0,0,0,0,0,0
BOYACA,BETEITIVA,1423,2024,10,1970001,2,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,10,2561201,4,0,0,0,0,0,0,0
CAQUETA,LA MONTAÑITA,1423,2024,10,3473101,9,0,0,0,0,0,0,0
HUILA,GARZON,1423,2024,10,2462001,5,0,0,0,0,0,0,0
HUILA,NEIVA,1423,2024,10,2522101,69,12,2,2,2,0,0,0
CASANARE,YOPAL,1423,2024,10,2032201,1,0,0,0,0,0,0,0
ANTIOQUIA,ENVIGADO,1423,2024,10,2773010,7,0,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,10,4282901,2,0,0,0,0,0,0,0
